ofat_factor,ofat_value,agent,size,map_type,enemy_profile,item_profile,wall_profile,player_hp,enemy_hp,episodes,wins,win_rate,win_rate_ci_low,win_rate_ci_high,avg_turns,std_turns,avg_damage_taken,avg_final_hp,avg_remaining_enemies,avg_remaining_enemies_on_losses,avg_chokepoints,avg_reachable_floor_fraction
player_hp,3,mcts_small,medium,baseline,medium_plus,many,open,3,2,30,14,0.4666666666666667,0.30232127224128236,0.6385798671847496,12.933333333333334,4.625533002320441,2.2333333333333334,0.7666666666666667,1.1333333333333333,2.125,3.466666666666667,0.9649628938858529
player_hp,3,random,medium,baseline,medium_plus,many,open,3,2,30,0,0.0,0.0,0.113517091390478,11.066666666666666,3.37573037364591,3.0,0.0,2.6333333333333333,2.6333333333333333,3.466666666666667,0.9649628938858529
player_hp,5,heuristic,medium,baseline,medium_plus,many,open,5,2,30,25,0.8333333333333334,0.6643529481431982,0.9266356575964831,10.1,2.103172207246314,3.6,1.4,0.3,1.8,3.466666666666667,0.9649628938858529
player_hp,5,mcts_medium,medium,baseline,medium_plus,many,open,5,2,30,30,1.0,0.8864829086095221,1.0,18.1,5.985259671337021,2.6666666666666665,2.3333333333333335,0.0,0.0,3.466666666666667,0.9649628938858529
player_hp,5,mcts_small,medium,baseline,medium_plus,many,open,5,2,30,28,0.9333333333333333,0.7867618227892791,0.9815233646723066,18.633333333333333,3.9956921247207666,3.2666666666666666,1.7333333333333334,0.13333333333333333,2.0,3.466666666666667,0.9649628938858529
player_hp,5,random,medium,baseline,medium_plus,many,open,5,2,30,1,0.03333333333333333,0.0059084379948573795,0.16670751396958874,15.033333333333333,5.369564435056369,4.966666666666667,0.03333333333333333,2.3,2.3793103448275863,3.466666666666667,0.9649628938858529
player_hp,6,heuristic,medium,baseline,medium_plus,many,open,6,2,30,28,0.9333333333333333,0.7867618227892791,0.9815233646723066,10.466666666666667,1.687865186822955,3.6666666666666665,2.3333333333333335,0.1,1.5,3.466666666666667,0.9649628938858529
player_hp,6,mcts_medium,medium,baseline,medium_plus,many,open,6,2,30,30,1.0,0.8864829086095221,1.0,18.633333333333333,5.22483386232413,3.466666666666667,2.533333333333333,0.0,0.0,3.466666666666667,0.9649628938858529
player_hp,6,mcts_small,medium,baseline,medium_plus,many,open,6,2,30,29,0.9666666666666667,0.8332924860304112,0.9940915620051425,19.833333333333332,3.474510357190236,3.966666666666667,2.033333333333333,0.03333333333333333,1.0,3.466666666666667,0.9649628938858529
player_hp,6,random,medium,baseline,medium_plus,many,open,6,2,30,3,0.1,0.034599259959716175,0.2562144131526662,17.0,6.366579406033772,5.866666666666666,0.13333333333333333,2.1,2.3333333333333335,3.466666666666667,0.9649628938858529
