size,map_type,enemy_profile,item_profile,wall_profile,enemy_count_setting,items,wall_density,agent,episodes,wins,win_rate,win_rate_ci_low,win_rate_ci_high,avg_turns,std_turns,avg_damage_taken,avg_final_hp,avg_remaining_enemies,avg_remaining_enemies_on_losses,avg_chokepoints,avg_reachable_floor_fraction,avg_generated_enemy_count,avg_generated_obstacle_density,avg_interior_wall_density,avg_dead_end_count,avg_avg_enemy_attack_distance,avg_max_enemy_attack_distance
medium,arena,heavy,normal,open,high,normal,low,random,20,0,0.0,0.0,0.1611301254949332,12.25,2.947456530637899,4.0,0.0,3.85,3.85,1.4,0.9562802788609239,4.0,0.06000000000000001,0.07575757575757577,1.2,7.9,7.9
medium,arena,light,few,normal,low,few,default,heuristic,20,20,1.0,0.8388698745050668,0.9999999999999999,6.8,0.39999999999999997,1.6,2.4,0.0,0.0,3.95,0.9884246112237998,1.0,0.12000000000000002,0.12727272727272726,3.1,7.85,7.85
medium,arena,light,few,normal,low,few,default,mcts_medium,20,20,1.0,0.8388698745050668,0.9999999999999999,12.55,3.7479994663820326,1.4,2.6,0.0,0.0,3.95,0.9884246112237998,1.0,0.12000000000000002,0.12727272727272726,3.1,7.85,7.85
medium,arena,light,few,normal,low,few,default,mcts_small,20,20,1.0,0.8388698745050668,0.9999999999999999,16.9,5.584800802177281,1.5,2.5,0.0,0.0,3.95,0.9884246112237998,1.0,0.12000000000000002,0.12727272727272726,3.1,7.85,7.85
medium,arena,light,few,normal,low,few,default,random,20,12,0.6,0.3865779423152061,0.7811960325858074,18.2,6.161168720299745,2.95,1.05,0.4,1.0,3.95,0.9884246112237998,1.0,0.12000000000000002,0.12727272727272726,3.1,7.85,7.85
medium,arena,light,few,open,low,few,low,heuristic,20,20,1.0,0.8388698745050668,0.9999999999999999,6.85,0.3570714214271425,1.65,2.35,0.0,0.0,1.1,0.989070069715231,1.0,0.06000000000000001,0.07575757575757577,1.05,7.9,7.9
medium,arena,light,few,open,low,few,low,mcts_medium,20,20,1.0,0.8388698745050668,0.9999999999999999,15.9,4.0853396431631,1.0,3.0,0.0,0.0,1.1,0.989070069715231,1.0,0.06000000000000001,0.07575757575757577,1.05,7.9,7.9
medium,arena,light,few,open,low,few,low,mcts_small,20,20,1.0,0.8388698745050668,0.9999999999999999,16.0,4.09878030638384,1.7,2.3,0.0,0.0,1.1,0.989070069715231,1.0,0.06000000000000001,0.07575757575757577,1.05,7.9,7.9
medium,arena,light,few,open,low,few,low,random,20,14,0.7,0.4810232237710206,0.854524726031006,20.4,6.036555309114627,2.8,1.2,0.3,1.0,1.1,0.989070069715231,1.0,0.06000000000000001,0.07575757575757577,1.05,7.9,7.9
medium,arena,light,many,normal,low,many,default,heuristic,20,20,1.0,0.8388698745050668,0.9999999999999999,6.8,0.5099019513592784,1.4,2.6,0.0,0.0,3.95,0.9884246112237998,1.0,0.12000000000000002,0.12727272727272726,3.1,7.85,7.85
medium,arena,light,many,normal,low,many,default,mcts_medium,20,20,1.0,0.8388698745050668,0.9999999999999999,13.75,4.720963884632035,1.15,2.85,0.0,0.0,3.95,0.9884246112237998,1.0,0.12000000000000002,0.12727272727272726,3.1,7.85,7.85
medium,arena,light,many,normal,low,many,default,mcts_small,20,20,1.0,0.8388698745050668,0.9999999999999999,15.25,4.085033659592048,1.8,2.2,0.0,0.0,3.95,0.9884246112237998,1.0,0.12000000000000002,0.12727272727272726,3.1,7.85,7.85
medium,arena,light,many,normal,low,many,default,random,20,13,0.65,0.43285051021946463,0.8188104521320554,17.85,5.9939552884551945,2.6,1.4,0.35,1.0,3.95,0.9884246112237998,1.0,0.12000000000000002,0.12727272727272726,3.1,7.85,7.85
medium,arena,light,many,open,low,many,low,heuristic,20,20,1.0,0.8388698745050668,0.9999999999999999,6.9,0.6244997998398397,1.55,2.45,0.0,0.0,1.1,0.989070069715231,1.0,0.06000000000000001,0.07575757575757577,1.05,7.9,7.9
medium,arena,light,many,open,low,many,low,mcts_medium,20,20,1.0,0.8388698745050668,0.9999999999999999,14.45,2.67348087705897,1.15,2.85,0.0,0.0,1.1,0.989070069715231,1.0,0.06000000000000001,0.07575757575757577,1.05,7.9,7.9
medium,arena,light,many,open,low,many,low,mcts_small,20,20,1.0,0.8388698745050668,0.9999999999999999,16.45,4.663421490708298,1.75,2.25,0.0,0.0,1.1,0.989070069715231,1.0,0.06000000000000001,0.07575757575757577,1.05,7.9,7.9
medium,arena,light,many,open,low,many,low,random,20,16,0.8,0.5839782779742401,0.9193436467288,21.25,6.948920779516773,2.45,1.55,0.2,1.0,1.1,0.989070069715231,1.0,0.06000000000000001,0.07575757575757577,1.05,7.9,7.9
